Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
D7_Severe.4	0	0	0.270669209176315	0	0	0	0	0.00430366916182838	0	0.245101131697617	0.0196757140921595	0	0	0.340420437385528	0	0	0	0.228502313004858	0	0.279871449030935	0	0.959404595162853	0.16	0.495581970090527	0.868403475372347	2.34794851871209
D7_Severe.5	0.130448545611684	0	0.00131136889034985	0	0.0803514861842324	0.0626405581928917	0	0	0	0.147251787371475	0.0931899384258074	0	0.0810730106497589	0.00863503479498627	0.0191390448328171	0.0140350036766124	0	0.241496432552556	0	0.321905564166351	0.133163408369094	0.183623273714022	0.79	0.0522363907981026	1.0280343244166	1.51826445743264
D7_Severe.6	0	0	0.162703469645338	0	0	0	0	0	0	0.29016663311427	0	0	0.101587309053694	0.360906272936021	0	0	0	0.31851491384729	0	0.239975734459407	0	0.483154468010101	0.35	0.374304047218402	0.931627136875418	1.95700880106612
D7_Severe.7	0	0	0.246321827858962	0	0	0	0	0	0	0.224590704303619	0	0	0	0.132003223934127	0	0	0	0.162208175025496	0	0.319493934373614	0.0786375937625509	0.804648280230379	0.36	0.347500202727719	0.951308145058683	1.96790373948875
D7_Severe.8	0	0	0.3051527108129	0	0	0	0	0	0	0.218224163559393	0.0164343512890411	0	0	0.153361934239579	0	0	0	0.290392227272452	0	0.370472855249919	0	0.957415474234346	0.27	0.427503935349059	0.903645926654809	2.31145371665763
D7_moderately	0	0	0.195339782682383	0	0	0	0	0	0	0.179436978495584	0	0	0	0.25697708404695	0	0	0	0.156936641625454	0	0.214084727751807	0	0.588271312785144	0.33	0.399157200501043	0.927153773817065	1.59104652738732
D7_moderately.1	0	0	0.00229394774389736	0	0	0	0	0	0	0.295337289074771	0	0	0	0.179462722319794	0	0	0	0.416988530374471	0	0.293973192891633	0	0.953885058994226	0.34	0.386755821504614	0.933181330470575	2.14194074139879
D7_moderately.2	0	0	0.00394603555928429	0	0	0	0	0	0	0.218172191239297	0.0422205789760692	0	0	0.30311449541969	0	0	0	0.285147896572956	0	0.253023435161868	0	0.802896407710212	0.39	0.339346142314317	0.973130540882183	1.90852104063938
D7_moderately.3	0	0	0.256138766356437	0	0.036443408358304	0.0241582137491571	0	0.00466481564976178	0	0.113948802250483	0.220301141254019	0	0	0.345464405830478	0	0	0	0.126287868460915	0	0.386658925971928	0	1.26268951177937	0.1	0.584604813194363	0.812685472121189	2.77675585966085
D7_moderately.4	0	0	0.21728387713857	0	0	0	0	0	0	0.189444819980895	0.0344213288609101	0	0	0.225853707006943	0	0	0	0.12384296458108	0	0.275004801086232	0	0.976457983407619	0.11	0.57525133874049	0.818055293675851	2.04230948206225
D7_moderately.5	0	0	0.143152897117694	0	0	0	0	0	0	0.205220655807008	0	0	0	0.188942326083115	0	0	0	0.277123185643076	0	0.224192337343652	0	0.701941356907376	0.34	0.384094306742382	0.92966437395089	1.74057275890192
D7_moderately.6	0	0	0.0273758468339539	0.00107586349936129	0	0	0	0	0	0.255067668201638	0	0	0	0.223410492294474	0	0	0	0.196868073443919	0	0.222408096477936	0	0.678969530832633	0.35	0.359748739841545	0.956567093544642	1.60517557158391
D7_moderately.7	0	0	0.121726870027356	0	0	0.176798111197882	0	0.0977734571555837	0	0.130489555954415	0.261026032078302	0	0	0.351733219857865	0	0	0	0.180509190547833	0	0.427587810880215	0	1.56965578968123	0.11	0.568765755194685	0.821157389362875	3.31730003738068
D30_Severe	0	0	0.0550627966167032	0	0	0.0451762880319273	0	0	0	0	0.121243743189681	0	0.121931572592537	0	0.0294888483339022	0.13161921643931	0	0.0464040536732034	0	0.109225675755777	0.558392524335324	0.212942343965575	0.23	0.455470004429355	0.892257501854666	1.43148706293394
D30_Severe.1	0	0	0.0773391057995203	0	0	0.0792042859585184	0	0	0	0.140132979377569	0.124505989373171	0	0.182235280078695	0.0934148531829822	0	0	0	0.0425293790140536	0	0.212711336632375	0.266668869129233	0.352460437874433	0.17	0.484502689019948	0.871629392689561	1.57120251642055
D30_Severe.2	0	0	0.120436475561646	0.0148704954727516	0	0	0	0	0	0.20130681336593	0	0.023606514135149	0	0.0331744993500974	0	0	0	0.201261285125499	0	0.24112127288438	0.0188035070743288	0.438168303173109	0.17	0.487926356358366	0.866790531168358	1.29274916614289
D30_Severe.3	0	0	0.0491706318680411	0	0	0.0274671513661404	0	0.0194169038890698	0	0	0.200608439364583	0	0.181279284276319	0.0988285077991218	0.0172780202167567	0	0	0.0635494549200041	0	0.263121782262489	0.124357302246493	0.437711793991716	0.12	0.549781056008579	0.83566361424114	1.48278927220073
D30_Severe.4	0	0	0.0192639527625298	0	0	0	0	0	0	0.23612060610281	0	0.0145982630103313	0	0.108229620590927	0	0	0	0.150830557609487	0	0.335032352786258	0.36721906508906	0.428477541177603	0.27	0.427049975070332	0.902999765290141	1.65977195912901
D30_Severe.5	0	0	0.0137797131644502	0	0	0	0	0	0	0.244870026210544	0.000415688392453839	0	0	0.208812367922246	0	0	0	0.294621398397527	0	0.230956598022677	0	0.720972293690804	0.3	0.418600935431848	0.915746438046215	1.7144280858007
D30_Severe.6	0	0	0.0717669576444685	0	0.0511698946381856	0.0411895711397149	0	0	0	0.0962417648585698	0.140254540915684	0	0.0621802081408781	0.0403586530961789	0.105013204155428	0	0	0.19979853537341	0	0.252968404347446	0.182138610439476	0.0671761801076223	0.71	0.078179078726698	1.02730688901905	1.31025652485706
D30_moderately	0	0	0.044851267738685	0	0.0119682640495511	0.106039141682336	0	0	0	0.274360456191285	0.047325359534077	0	0.0650484837403632	0.107275396833184	0	0	0	0	0	0.228101726271898	0.211688294383622	0.445269704592164	0.26	0.432742842822178	0.900802485290542	1.54192809501716
D30_moderately.1	0	0	0.177465385547143	0	0	0.0616306754579934	0	0	0	0.101599598675638	0.114219996245553	0	0	0.170258671095178	0	0	0	0.0895366068863994	0	0.260005611244946	0.159541255380135	0.670580453984643	0.11	0.561898588642424	0.825168337133001	1.80483825451763
D30_moderately.2	0	0	0.069752825449569	0	0.023736451817246	0.107038103629376	0	0.0820062958025144	0	0	0.267287931168796	0	0.00868705983938981	0.20467428574786	0	0	0	0.258104333589413	0	0.281636463224317	0	0.408531237120146	0.41	0.331391584285645	0.941058675639624	1.71145498738863
D30_moderately.3	0	0	0.0271424354042648	0	0	0	0	0	0	0.124517834410827	0.0281007550252891	0	0	0.193223637299671	0	0	0	0.148840777785305	0	0.233929116113604	0	0.53310452053852	0.43	0.296588790963999	0.996181156585241	1.28885907657748
D30_moderately.4	0	0	0.203190263593405	0	0	0	0	0	0	0.152321048771123	0.187790365755317	0	0	0.173834003630711	0	0	0	0.143192027873957	0	0.218339329361117	0	1.00794974183982	0.2	0.47624963142885	0.886374212189585	2.08661678082545
D30_moderately.5	0	0	0.190262088903716	0.0258105088567349	0.00375285790729252	0	0	0	0	0.183441248470282	0	0	0	0.0415645602422691	0	0	0	0	0	0.260055698730253	0.212888335445766	0.443165939871285	0.35	0.36842060087016	0.936705710936627	1.3609412384276
D30_moderately.6	0	0	0.108483455698036	0	0	0	0	0	0	0	0.107860994763513	0.0140332238810245	0	0.07331243230206	0	0	0	0.26712888647657	0	0.263765282152291	0.162627521742069	0.516837995145712	0.19	0.477177904062613	0.871018747456937	1.51404979216128
D30_moderately.7	0	0	0.197242422228676	0	0.00471175796117258	0	0	0	0	0.0815617552292848	0.025552804156092	0.0132286590944089	0	0.016090460645872	0	0	0	0.0216098381405297	0	0.294368037704667	0.307164270743786	0.371673073139003	0.21	0.471544596986042	0.878261162939118	1.33320307904349
